_id,name,bID,address,tel,category,mainMn,price,menu,opngTm,rating,rvwCnt,img,tags
17,칼라스커피 로스터스,,서울시 마포구 성산동 113-1 1F,02-3494-2388,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월: 09:00 - 18:00 화-금: 09:00 - 21:00 토-일: 12:00 - 18:00,4.2,12,https://mp-seoul-image-production-s3.mangoplate.com/352241/o0nvjkjm1qnrfm.jpg,"성산, 챔피언, 구워, 에스프레소, 커피"
18,스트라다로스터스,,서울시 마포구 합정동 473 마포한강푸르지오2차 230호,02-336-0146,카페 / 디저트,아메리카노,"4,000원","아메리카노:4,000원//카페라떼:4,500원//",월-금: 08:00 - 21:00 토-일: 09:00 - 22:00,4.2,64,https://mp-seoul-image-production-s3.mangoplate.com/447263_1503477549931102.jpg,"커피, 합정, 카페, 라테, 바닐라"
19,시라카와,,서울시 강남구 신사동 664-24 1F,070-4159-4769,이자카야 / 오뎅 / 꼬치,덴푸라5종모듬,9900,"덴푸라5종모듬:9,900원//특제소스에 조린 소고기:13,000원//숙성도미회:13,000원//문어숙회:12,000원//도미머리조림:15,000원/",18:00 - 24:00,4.8,33,https://mp-seoul-image-production-s3.mangoplate.com/513273_1598598343472200.jpg,"덴푸라, 와사비, 사진, 무스,"
20,이름없는파스타,,서울시 성북구 동선동1가 85-152,070-8860-9171,기타 양식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 20:30,3.4,10,https://mp-seoul-image-production-s3.mangoplate.com/942396_1516584778010571.jpg,"파스타, 멘타이코, 일본, 알리올리오, 카보나라"
21,모찌방,,서울시 강남구 대치동 905-21,070-4007-6851,카페 / 디저트,모찌 8구 선물세트,업데이트 준비중입니다.,"모찌 8구 선물세트:변동//양갱 5종 세트:30,000원//모찌 4구 선물 세트:변동//모찌 12구 선물세트:변동//답례품/기업선물:변동//",11:30 - 19:30,4.5,63,https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/361258/47875_1547431886257,"모치, 모치방, 차, 데서트, 호지차"
22,부자피자,,서울시 강남구 신사동 534-12,02-516-9474,기타 양식,부자 클라시카 피자,19600,"부자 클라시카 피자:19,600원//부자 샐러드:14,900원//부자 깔조네:22,000원//부자 크로케테:8,500원//부자 비츠:8,200원/",11:30 - 22:30,4.3,120,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/608462_1478433159756764.jpg,"피자, 클라시카, 부자, 맛있고, 루콜라"
23,열혈쭈꾸미,,서울시 성동구 성수동1가 668-20,02-462-5556,해산물 요리,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:30 - 23:00,3.9,8,https://mp-seoul-image-production-s3.mangoplate.com/250219/44101_1458612053091_18472,"콘치즈, 주쿠미, 쿠쿠미, 피투성이, 비빔밥"
24,일등식당,,서울시 마포구 망원동 476-1,02-333-0361,탕 / 찌개 / 전골,뼈다귀해장국,"6,000원","뼈다귀해장국:6,000원//공기밥:1,000원//소주/맥주:4,000원//특 해장국:8,000원//",07:00 - 21:00,4.2,28,https://mp-seoul-image-production-s3.mangoplate.com/597180_1597747293958034.jpg,"국, 뼈, 해장국, 고기, 식당"
25,웨이하이,,서울시 성동구 성수동2가 301-18,02-6053-7553,정통 중식 / 일반 중식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-토: 11:30 - 24:00 일: 11:30 - 22:00,3.8,23,https://mp-seoul-image-production-s3.mangoplate.com/1623418_1600010923521836.jpg,"중국인, 코튼, 퓨전, 체론, 샴프"
26,아반,,서울시 마포구 망원동 410-9,02-332-3538,탕 / 찌개 / 전골,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,4.3,15,https://mp-seoul-image-production-s3.mangoplate.com/417353/1030598_1600014491167_91682,"수프, 오레노라멘, 라이스, 뉴, 루트"
27,치카이라멘,,서울시 성동구 옥수동 293,02-2282-4546,라멘 / 소바 / 우동,돈코츠라멘,"8,500원","돈코츠라멘:8,500원//매운돈코츠라멘:8,500원//차슈덮밥:8,000원//마제멘:9,000원//",월-토: 11:00 - 21:30 일: 11:00 - 20:30,3.8,12,https://mp-seoul-image-production-s3.mangoplate.com/281840/367007_1503376038947_21133,"라면, 매운, 조용, 마늘, 치카이라멘"
28,핸썸베이글,,서울시 성북구 안암동5가 101-81,02-6449-1505,기타 양식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-금: 08:30 - 19:00 토-일: 08:30 - 18:30,3.6,19,https://mp-seoul-image-production-s3.mangoplate.com/220679/30105_144323163626943846,"베이글, 베이글, 샐러드, 살몬, 살라글"
29,마온,,서울시 성북구 보문동6가 9 1F,010-7254-0830,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,3.7,7,https://mp-seoul-image-production-s3.mangoplate.com/777980_1598634365300021.jpg,"카페, 바스크, 치즈케이크, 노랑, 블랙"
30,모노로그,,서울시 강남구 논현동 10-7,02-545-9996,회 / 스시,런치 오마카세,55000,"런치 오마카세:55,000원/",월-화: 19:00 - 24:00 수: 12:00 - 24:00 목: 19:00 - 24:00 금-토: 12:00 - 24:00,4.3,13,https://mp-seoul-image-production-s3.mangoplate.com/353843/783110_1536383456318_514478,"독백, 짝수, 일식, 1단계"
31,성수족발,,서울시 성동구 성수동2가 289-273 동진빌딩 1F,02-464-0425,고기 요리,족발 (중),35000,"족발 (중):35,000원//족발 (대):40,000원//족발 (특대):45,000원/",12:00 - 22:00,4.1,159,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/28145_145558290712604.jpg,"발, 발, 달콤, 주요, 성수"
32,가온,,서울시 강남구 신사동 651-24 호림아트센터 MF,02-545-9845,한정식 / 백반 / 정통 한식,온날 코스(점심),업데이트 준비중입니다.,"온날 코스(점심):변동//가온 코스(저녁):변동//와인:변동//화요:17,000~160,000원//",17:30 - 23:00,4.3,12,https://mp-seoul-image-production-s3.mangoplate.com/191654/744155_1595319092760_33533,"광주, 미셀린, 스타, 한국,요"
33,아꼬떼뒤파르크,,서울시 성동구 성수동1가 685-477,070-4118-2009,카페 / 디저트,사블레 오 노아제트,5500,"사블레 오 노아제트:5,500원//보스톡 코코 에 패션후르츠:4,500원//케크 오 시트롱:6,500원/",10:00 - 20:00,3.9,53,https://mp-seoul-image-production-s3.mangoplate.com/521155_1493878285669205.jpg,"매이슨, 에모, 빵, 센터, 커피"
34,슬로우캘리,,서울시 마포구 연남동 390-42,02-336-0688,세계음식 기타,클래식 참치 포케,"8,700원","클래식 참치 포케:8,700원//스파이시 살몬 포케:9,700원//솔트앤페퍼 참치 포케:8,700원//라임폰즈 문어 포케:8,700원//하와이안 갈릭 쉬림프:11,500원//",11:00 - 21:30,4.3,90,https://mp-seoul-image-production-s3.mangoplate.com/346144/26737_1553007594365_51100,"포크, 살몬, 건강, 투나, 연남"
35,봉순이네다락방,,서울시 성동구 행당동 292-33,02-2299-8057,카페 / 디저트,에스프레소,"3,500원","에스프레소:3,500원//아메리카노:3,800원//다방 라떼:3,800원//카푸치노:4,200원//카페라떼:4,200원//",12:00 - 22:00,3.9,24,https://mp-seoul-image-production-s3.mangoplate.com/49192/569295_1517233172317_457246,"카페, 왕십니, 아티크, 플로어, 빈티지"
36,우마담,,서울시 마포구 서교동 399-19,02-6348-0518,고기 요리,한우 오마카세(Signature),70000,"한우 오마카세(Signature):70,000원//한우 오마카세(Premium):120,000원/",17:00 - 23:00,4.3,23,https://mp-seoul-image-production-s3.mangoplate.com/383263/434101_1560860568360_7040,"한우, 오마카세, 서명, 오마카세,70"
37,로로11,,서울시 마포구 서교동 398-5,02-6085-1010,이탈리안,까르보나라,15000,"까르보나라:15,000원//봉골레:16,000원//엔초비 날치알:12,000원//뇨끼:14,500원/",12:00 - 22:00,4.1,113,https://mp-seoul-image-production-s3.mangoplate.com/186126_1432468306708,"파스타, 살몬, 유기농, 로로, 맛있는"
38,강서면옥,,서울시 강남구 신사동 645-30,02-3445-0092,국수 / 면 요리,평양냉면 (물/비빔),13000,"평양냉면 (물/비빔):13,000원//육개장만두전골 (중):38,000원//녹두전:13,000원//만두알 (1개):3,000원/",11:00 - 22:00,4.3,101,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/54303_1445166091215.jpg,"추위, 평양, 누들, 강서, 덤플링"
39,해로커피,,서울시 성북구 성북동1가 66,02-6012-9871,카페 / 디저트,아메리카노,"4,500원","아메리카노:4,500원//카페라떼:5,000원//플랫화이트:5,000원//카푸치노:5,000원//아인슈페너:6,000원//",11:00 - 22:00,3.9,11,https://mp-seoul-image-production-s3.mangoplate.com/390531/1013171_1600075282062_24465,"한옥, 카페, 커피, 한성, 지역"
40,아니스,,서울시 성동구 옥수동 220-1 한남하이츠상가 1F,02-2299-2822,카페 / 디저트,업데이트 준비중입니다.,"3,000원","쿠키:3,000원//당근케이크:6,000원//레드벨벳 케이크:6,000원//브라우니:4,500원//아메리카노:4,500원//",월-금: 09:00 - 21:30 토-일: 10:00 - 21:30,4,31,https://mp-seoul-image-production-s3.mangoplate.com/90206_1424184349414,"케이크, 벨벳, 당근, 레드, 쿠키"
41,제뉴어리피크닉,,서울시 성북구 성북동1가 48,02-747-5394,카페 / 디저트,라임에이드,"6,500원","라임에이드:6,500원//데이지레몬:4,500원//그린델발트샌드위치:9,000원//",월요일 휴무,3.9,12,https://mp-seoul-image-production-s3.mangoplate.com/352046/1618189_1596629973674_9044,"문, 머핀, 스프링, 밀도, 디저트"
42,임프레션,,서울시 강남구 신사동 649-7 5F,02-6925-5522,프랑스 음식,런치 테이스팅 코스 메뉴,업데이트 준비중입니다.,런치 테이스팅 코스 메뉴:변동//디너 테이스팅 코스 메뉴:변동//,17:30 - 22:00,4.4,15,https://mp-seoul-image-production-s3.mangoplate.com/613439_1592319062205214.jpg,"와인, 서버, 싱글, 코스, 프랑스"
43,행운돈가스,,서울시 성동구 행당동 20-17,02-2296-3406,기타 한식,치즈돈가스,"6,000원","치즈돈가스:6,000원//치킨가스:6,000원//고구마돈가스:6,000원//돈가스+김치볶음밥:6,000원//돈가스+오징어볶음:6,000원//",11:00 - 21:30,3.8,39,https://mp-seoul-image-production-s3.mangoplate.com/48873_1435145151677,"돼지고기, 커틀릿, 치즈, 동가스"
44,태극당,,서울시 성북구 동선동1가 118-1,02-926-0544,베이커리,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,08:00 - 22:30,3.4,28,https://mp-seoul-image-production-s3.mangoplate.com/186781/reviews/a645b3f5eab2.jpg,"빵, 태극당, 베이커리, 생크림"
45,스시진,,서울시 성북구 동소문동5가 118-3,02-924-3730,회 / 스시,오늘의초밥(10pcs),10000,"오늘의초밥(10pcs):10,000원//초밥세트:10,000원//특선초밥:13,000원//사시미정식:20,000원//스페셜 초밥:20,000원/",11:30 - 22:00,3.4,43,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/709192_1485279780175999.jpg,"초밥, 성신, 사시미, 대학, 여성"
46,싸움의고수,,서울시 성북구 안암동5가 102-57,02-921-1578,고기 요리,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 22:30,3.2,19,https://mp-seoul-image-production-s3.mangoplate.com/223799/429519_1446781009538_7885,"보쌈, 스파이시, 식용, 양배추, 건조"
47,여우주막,,서울시 성동구 행당동 19-84,02-2282-6960,일반 주점,지옥불닭볶음탕,"19,000원","지옥불닭볶음탕:19,000원//첫상차림:19,000원//직화무뼈불닭발:14,000원//글래머오믈렛:15,000원//햄듬뿍부대볶음:15,000원//",16:00 - 02:00,4,12,https://mp-seoul-image-production-s3.mangoplate.com/791044_1502875993986570.jpg,"동촌, 물살, 찹토, 에벤젤리스트, 간략하게"
48,매덕스피자,,서울시 강남구 신사동 541-11 1F,02-542-2420,기타 양식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,12:00 - 22:00,4.5,25,https://mp-seoul-image-production-s3.mangoplate.com/410467/682807_1598799994213_19701,"매독스, 피자, 이태원, 스퀘어, 신사"
49,나누리잡화점,,서울시 성동구 성수동2가 315-55,02-467-0344,일반 주점,국산병맥주 500ml,"4,500원","국산병맥주 500ml:4,500원//소주:4,500원//수입병맥주:5,500원//제주맥주:7,000원//먹태:13,000원//",월-금: 16:00 - 01:00 토-일: 14:00 - 01:00,3.7,7,https://mp-seoul-image-production-s3.mangoplate.com/26135_1598948911696244.jpg,"나미야, 영화, 소설, 싸구려, 복수"
50,누이테이블,,서울시 성동구 성수동2가 299-94 1F,02-498-4656,이탈리안,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,12:00 - 22:00,3.9,20,https://mp-seoul-image-production-s3.mangoplate.com/256213/885889_1535200302555_24188,"파스타, 리소토, 쉘파스타, 누이, 쉘"
51,삼원가든,,서울시 강남구 신사동 623-5,02-548-3030,고기 요리,양념갈비 (160g),46000,"양념갈비 (160g):46,000원//한우 생갈비 (150g):85,000원//한우 양념갈비 (150g):66,000원//특 꽃등심 (130g):82,000원//생등심 불고기 (200g):47,000원/",12:00 - 22:00,4.3,57,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/259634_1456054373945823.jpg,"늑골, 삼원, 가든, 냉정, 비싸다"
52,펠트커피,,서울시 강남구 신사동 645-21,070-7756-3145,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 20:00,4.3,32,https://mp-seoul-image-production-s3.mangoplate.com/388421/513273_1598080856804_10051,"블랙, 커피, 바살트, 손실, 초대"
53,리도엘리펀트,,서울시 성동구 성수동2가 333-97,02-6085-7979,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월,3.9,22,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/743761_1490260554817431.jpg,"산업, 빈티지, 몰디, 크리키, 내재화"
54,장스테이크,,서울시 강남구 신사동 639 요한빌딩 5F,02-548-9621,스테이크 / 바베큐,한우안심스테이크 (180g),51000,"한우안심스테이크 (180g):51,000원//한우꽃등심스테이크 (200g):49,000원//한우채끝등심스테이크 (200g):47,000원//런치스테이크코스:38,000원//디너스테이크코스:59,000원/",12:00 - 22:00,4.5,140,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/336847_1454728407120.jpg,"스테이크, 점심, 코스, 안심, 스"
55,Poze,,서울시 성동구 성수동2가 315-41,070-8830-5994,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,10:00 - 22:00,3.8,15,https://mp-seoul-image-production-s3.mangoplate.com/361880/26737_1593952266901_2222,"전시회, 성수, 커피, 원뿔, 바닥"
56,센터커피,,서울시 성동구 성수동1가 685-478,070-8868-2008,카페 / 디저트,에스프레소,5000,"에스프레소:5,000원//아메리카노:5,000원//라떼:6,000원//카푸치노:6,000원//콜드브루:7,000원/",월요일 휴무,4.2,108,https://mp-seoul-image-production-s3.mangoplate.com/67078_1534563334777576.jpg,"커피, 숲, 센터, 서울, 카페"
57,세인트그릴,,서울시 강남구 신사동 550-8,"
브런치 / 버거 / 샌드위치
",업데이트 준비중입니다.,치즈버거,"7,800원","치즈버거:7,800원//비프 트럭:13,800원//슈프림 올스타:9,800원//크리스피 치킨버거:8,800원//미스터 파렌하이트:9,800원//",매일 11:00 - 22:00,4.3,8,https://mp-seoul-image-production-s3.mangoplate.com/1089560_1599122439124827.jpg,"햄버거, 패티, 햄버거, 도로, 24번지"
58,옥정김밥,,서울시 성동구 옥수동 314-10,02-2297-5646,기타 한식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,06:00 - 21:00,4.3,5,https://mp-seoul-image-production-s3.mangoplate.com/231800/743008_1599274763101_29825,"김밥, 할머니, 김밥, 부탁, 불균등하게"
59,이요이요스시,,서울시 마포구 공덕동 476 공덕파크자이,010-4128-2535,회 / 스시,런치 오마카세,40000,"런치 오마카세:40,000원//디너 오마카세:60,000원/",12:00 - 21:30,4.6,14,https://mp-seoul-image-production-s3.mangoplate.com/339337/336505_1512885968347_37282,"오마카제, 이요스시, 미들급, 스시, 디너"
60,강남진해장,,서울시 강남구 역삼동 819-4,02-557-2662,탕 / 찌개 / 전골,양선지해장국,"9,000원","양선지해장국:9,000원//곱창전골:49,000원//양지내장탕:12,000원//사골곰탕:9,000원//양지곰탕:9,000원//",월: 08:00 - 24:00 화-토: 00:00 - 24:00 일: 00:00 - 22:00,4.3,57,https://mp-seoul-image-production-s3.mangoplate.com/523082_1497584727932655.jpg,"중앙, 해장국, 해, 해안, 강남진"
61,메쉬커피,,서울시 성동구 성수동1가 685-307,02-464-7078,카페 / 디저트,아메리카노,"4,000원","아메리카노:4,000원//카페봄본:4,500원//카페그라니티:4,500원//핸드드립:5,000원//카푸치노:4,000원//",월-토: 10:00 - 18:00,3.9,17,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/65460_1466661969930628.jpg,"메쉬, 커피, 라떼, 소프트, 밀크"
62,버블,,서울시 성북구 안암동5가 56-1,02-924-4325,일반 주점,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,17:00 - 03:00,3.9,11,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/478879_1474016594960896.jpg,"술, 거품, ip, 맥주, 아남"
63,휘스커,,서울시 성동구 성수동2가 299-136,"
카페 / 디저트
",업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,"

                      식당 홈페이지로 가기
                    
",3.7,41,https://mp-seoul-image-production-s3.mangoplate.com/33537_1495062340891153.jpg,"마카롱, 마카롱, 휘스커, 마벨, 슈"
64,정돈,,서울시 강남구 역삼동 811-4 1F,02-563-0924,까스 요리,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:30 - 22:00,4.5,182,https://mp-seoul-image-production-s3.mangoplate.com/1088921_1550123500708642.jpg,"돼지고기, 설로인, 커틀릿, 커틀릿, 강남"
65,신성각,,서울시 마포구 신공덕동 2-463,02-716-1210,정통 중식 / 일반 중식,업데이트 준비중입니다.,"5,000원","자장면:5,000원//간짜장,우동:6,000원//탕수육:15,000원//만두:4,000원//짬뽕:6,000원//",11:30 - 16:00,4.3,36,https://mp-seoul-image-production-s3.mangoplate.com/2054_1427262232303,효창 자장면 수르 자장면 신사각
66,갱상도갱양식,,서울시 성북구 동선동2가 135-25,"
스테이크 / 바베큐
",업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,3.7,24,https://mp-seoul-image-production-s3.mangoplate.com/815954_1530764945538993.jpg,"파스타, 스테이크, 햄박, 오마이스, 베이컨"
67,램랜드,,서울시 마포구 용강동 494-32,02-704-0223,기타 중식,삼각갈비(200g),"25,000원","삼각갈비(200g):25,000원//수육(200g):26,000원//전골 1인:13,000원//",11:30 - 22:00,4.3,32,https://mp-seoul-image-production-s3.mangoplate.com/14881/107937_143528735978211049,"양, 리브스, 램랜드, 램랜드, 이트"
68,미라이,,서울시 강남구 신사동 557-25 끌레르빌 1F,02-540-0934,이자카야 / 오뎅 / 꼬치,사시미8종 (2인),41000,"사시미8종 (2인):41,000원//마구로치즈아에:19,000원//양갈비 스미비 야끼:23,000원//노도구로 시오 야끼:35,000원//규 스테이크:41,000원/",일,4.8,77,https://mp-seoul-image-production-s3.mangoplate.com/281547/753280_1550146766591_11966,"사바산도, 고등어, 미라이, 샌드위치, 사바산"
69,원마산아구찜,,서울시 마포구 용강동 122-1,02-719-0687,해산물 요리,"아구찜, 탕 소","43,000원","아구찜, 탕 소:43,000원//아구찜, 탕 중:53,000원//아구찜, 탕 대:63,000원//해물섞어찜:45,000원//더덕구이:6,000원//",11:30 - 21:20,4.3,25,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/14650_1465385764848732.jpg,"아구, 찌고, 착하고, 쌀고, 가게"
70,하루노유키,,서울시 성동구 성수동1가 685-428,02-548-8662,카페 / 디저트,고구마 바움쿠헨 (5cm),"14,500원","고구마 바움쿠헨 (5cm):14,500원//바움플:10,000원//플레인 바움쿠헨 (5cm):15,000원//맛차 바움쿠헨 (5cm):16,000원//초코바나나 바움쿠헨 (5cm):16,000원//",09:00 - 20:00,3.8,8,https://mp-seoul-image-production-s3.mangoplate.com/112555_1495953052694639.jpg,"바움쿠첸, 바움쿠헨, 케이크, 허니바움, 출생지"
71,버거쑈,,서울시 성동구 행당동 3-20,02-2297-7592,브런치 / 버거 / 샌드위치,리얼버거,"3,000원","리얼버거:3,000원//베이컨치즈버거:4,500원//더블치즈버거:5,000원//불고기버거:3,700원//갈릭버거:4,000원//",11:00 - 21:30,3.9,21,https://mp-seoul-image-production-s3.mangoplate.com/268922/797281_1497068434317_797281_1497068392564_28950,"버거, 버거, 한양, 홈메이드, 아보카도"
